Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°C),Temperature Sampled High (°C),Dew Point Sampled Low (°C),Dew Point Sampled High (°C),Wind Speed Min (kph),Wind Speed Max (kph),Gust Speed Max (kph),Wind Direction Dominant (degrees),Visibility Min (km),Visibility Max (km),Precipitation (mm),Snow Depth Max (mm),Pressure Altimeter Min (mbar),Pressure Altimeter Max (mbar),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
VTSP,Asia/Bangkok,2015-01-01,25,31,20,22,7.41,33.34,,E,7,10,,,1008.81,1013.88,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-02,25,31,19,21,11.11,27.78,,E,9,10,,,1010.5,1014.56,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-03,24,31,19,21,0,22.22,,E,7,10,,,1009.82,1014.9,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-04,23,32,17,22,0,14.82,,E,8,10,,,1009.48,1013.21,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-05,24,31,21,23,0,14.82,,W,7,9,,,1008.81,1012.19,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-06,25,29,21,23,0,24.08,,E,7,9,,,1007.79,1011.85,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-07,24,31,22,23,0,24.08,,E,5,10,,,1008.47,1012.53,FEW,mostly clear,BKN,mostly cloudy,TS,thunderstorm,RA,rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-08,24,30,21,24,0,18.52,,E,8,10,,,1009.48,1013.55,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-09,26,31,19,22,3.7,27.78,38.89,E,8,100,,,1009.48,1013.88,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2015-01-10,24,32,20,23,0,31.48,,E,5,10,,,1008.81,1012.53,FEW,mostly clear,BKN,mostly cloudy,RA,rain,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,,,
